X,Y,OBJECTID,Id,DateStarted,EstimatedCompletionDate,WorkType,Description,Suburb,Road,TrafficImpact,Region,EntryDate
121.308798703344,-30.868285433013,216775,59638,19/02/2021 07:00:00,30/04/2021 17:00:00,Maintenance,Great Eastern Hwy between Coolgardie and Kalgoorlie - Shoulder Sealing Works,Kalgoorlie,Great Eastern Hwy,Lane Closures. STOP/SLOW Traffic Control. Speed Reductions. Exercise Caution.,Goldfields Esperance,19/02/2021 16:04:31
115.867690925329,-32.0457340554967,216777,59655,14/03/2021 06:30:00,14/03/2021 18:30:00,Maintenance,"Leach Hwy eastbound between Webb St and High Rd, Shelley  - Maintenance
6:30am to 6:30pm",Shelley,Leach Hwy,Lane closure and speed reduction in place,Metro,22/02/2021 13:13:49
115.867697364453,-32.0457446165905,216778,59656,21/03/2021 06:30:00,21/03/2021 18:30:00,Maintenance,"Leach Hwy eastbound between Webb St and High Rd, Shelley  - Maintenance
6:30am to 6:30pm",Shelley,Leach Hwy,Lane closures and speed reductions in place,Metro,20/02/2021 13:34:23
117.261443181958,-32.0213098860778,216783,59670,02/03/2021 06:00:00,30/04/2021 18:00:00,Upgrades,"Quairading York Rd, Dulbelling North Rd, Dulbelling  - Upgrades (Widening & Intersection Improvements) 6:30am - 5:30pm Daily",Dulbelling,Quairading York Rd,Traffic Management in Place - Lane Closure - Speed Reductions - Caution Required at all Times  ,Wheatbelt,22/02/2021 13:01:43
116.985145765569,-33.841532268928,216788,59678,23/02/2021 07:00:00,12/03/2021 17:00:00,Maintenance,"Donnybrook Boyup Brook Rd at Balgarup River    - Maintenance
7am to 7pm daily", ,Donnybrook Boyup Brook Rd,"Lane closure, Speed reductions ",Great Southern,22/02/2021 17:08:08
117.080291783795,-33.8423970964312,216790,59680,23/02/2021 07:00:00,12/03/2021 17:00:00,Maintenance,Boyup Brook Kojonup Rd Farrar Rd Kojonup  - Maintenance,Kojonup,Boyup Brook Kojonup Rd,"Speed reduced to 40km/h while one lane closed, and a minimum of 3.5m lane open to traffic on bridge while truck is parked on the closed lane on bridge to carryout preventative maintenance to the underside of the bridge.
Both lanes will be open to traffic outside of work hours. 
",Great Southern,04/03/2021 11:48:55
115.243049300538,-33.6782079300235,216793,59683,08/03/2021 00:00:00,23/06/2021 23:00:00,Upgrades,"Yebble Drive, Vasse  - Upgrades",Vasse,LOCAL ROAD,Road Closure with detours in place.,South West,23/02/2021 10:24:59
115.76637498488,-33.9750876878705,216795,59686,22/02/2021 07:00:00,30/07/2021 17:30:00,Maintenance,Vasse Hwy Nannup  - Bridge Maintenance. 7am to 5.30pm Daily,Nannup,Vasse Hwy,Lane closures. Speed reductions.,South West,23/02/2021 10:52:36
115.757195850186,-31.92685259798,216799,59697,01/02/2021 09:00:00,01/02/2022 15:00:00,Maintenance,West Coast Hwy The Boulevard City Beach  - Maintenance,City Beach,West Coast Hwy,Traffic management signage in place and speed restricted to 40kmh. Pedestrian management in place. ,Metro,23/02/2021 22:41:48
116.040149227673,-31.5032689754627,216800,59698,02/03/2021 06:00:00,24/03/2021 18:00:00,Resurfacing,"Great Northern Hwy, Blue Plains Rd, Muchea to Chittering  - Resurfacing - 6:00am - 6:00pm Daily",Muchea to Chittering,Great Northern Hwy,Traffic Management in Place - Caution Required at all Times - Lane Closures with a convoy vehicle escort and Speed reduction.,Wheatbelt,24/02/2021 06:35:24
115.847503067084,-31.9599747532981,216805,59713,08/03/2021 20:00:00,10/03/2021 06:00:00,Resurfacing,Mitchell Fwy between Mounts Bay Rd exit and entry ramps  - Resurfacing 8pm to 6am each night,,Mitchell Fwy,"Closed northbound, Follow signed detours",Metro,24/02/2021 13:42:53
115.847682924177,-31.9740050333088,216806,59714,10/03/2021 20:00:00,11/03/2021 06:00:00,Resurfacing,Kwinana & Mitchell Fwy from Mill Point Rd to Mounts Bay Rd  - Resurfacing,,Kwinana Fwy,Northbound lane closures and speed reductions,Metro,24/02/2021 10:51:49
118.509933045769,-33.3920524733013,216807,59715,04/03/2021 06:00:00,12/03/2021 18:00:00,Resurfacing,"Pingrup Lake Grace Rd, Rasmussen Rd, Lake Grace   - Resurfacing - 6:00 am - 6:00pm Daily",Lake Grace ,Pingrup Lake Grace Rd,Traffic Management in Place - Lane Closure - Speed Reductions - Caution Required at all Times  - 15min delays expected,Wheatbelt,24/02/2021 11:02:53
115.847142443803,-31.9709501699913,216809,59720,02/03/2021 20:00:00,11/03/2021 06:00:00,Resurfacing,"Kwinana Fwy northbound between Mill Point Rd to Mounts Bay Rd, South Perth  - Resurfacing
8pm to 6am nightly",South Perth,Kwinana Fwy,"Northbound ramp closures, lane closures, speed reductions and detours in place. ",Metro,24/02/2021 13:12:20
115.004092001951,-29.2600990974812,216811,59726,02/03/2021 06:30:00,09/03/2021 17:30:00,Maintenance,"Bridge Works - Brand Hwy (Pell Bridge) west of Midlands Road intersection, Dongara",,Brand Hwy,"Single lane closure with traffic signals, speed restrictions apply, please obey all signage and approach with caution 
Daily works 02/03/2021-09/03/2021
6.30am-5.30pm",Mid West Gascoyne,26/02/2021 14:15:39
117.813841036654,-34.9979606654629,216820,58316,04/01/2021 06:00:00,25/03/2021 18:00:00,Maintenance,"South Coast Hwy Link Rd,  Gledhow - Construction Works - 6am to 6pm daily",Gledhow,South Coast Hwy,Speed reduction in place. No delays expected,Great Southern,08/03/2021 17:20:44
117.814106187885,-34.9597486893226,216821,58315,04/01/2021 06:00:00,25/03/2021 18:00:00,Maintenance,"Albany Hwy - Link Rd, Albany  - Construction Works - 6am to 6pm daily",Albany,Albany Hwy,Speed reduction in place. Lane Closure in place so delays of up to 5 mins may occur,Great Southern,08/03/2021 17:20:25
117.876133656307,-34.9853654450177,216823,59751,10/03/2021 06:00:00,17/03/2021 18:00:00,Maintenance,"South Coast Hwy from Mercer Rd to King River, Albany  - Shoulder works - 6am to 6pm daily",Albany,South Coast Hwy,Speed reduction with one lane closure in place,Great Southern,25/02/2021 16:12:01
116.13362061014,-33.9679702962987,216824,59753,02/03/2021 07:00:00,12/03/2021 17:00:00,Maintenance,"South Western Hwy - works on Blackwood River Bridge north of Brockman Rd, Bridgetown  - Bridge Maintenance - Daily 7am to 5pm",Bridgetown,South Western Hwy,"Speed reductions and lane closure in place.  
RAV Width restrictions for oversize - 3.5m",South West,25/02/2021 16:20:07
117.840210552712,-35.0002408598206,216826,59756,08/03/2021 06:00:00,10/03/2021 18:00:00,Maintenance,"South Coast Hwy from East River Rd, Hay to Clydesdale Rd,  Albany  - Line Marking - 6am to 6pm daily",Albany,South Coast Hwy,Slow moving vehicle - minimal delays expected,Great Southern,08/03/2021 15:51:01
117.380722704398,-34.9420874743017,216828,59758,12/03/2021 06:00:00,12/03/2021 18:00:00,Maintenance,"Denmark Mt Barker Rd East River Rd intersection, Denmark  - Line Marking - 6am to 6pm",Denmark,Denmark Mt Barker Rd,Slow moving vehicle - minimal delays expected,Great Southern,08/03/2021 15:44:49
115.69754728413,-30.9734685346709,216833,59775,02/03/2021 07:00:00,17/05/2021 17:30:00,Maintenance,Shoulder Works - Brand Hwy between Regans Ford and North West Road (Shire of Dandaragan) ,,Brand Hwy,"Traffic management in place, expect delays
Daily works 2/03/2021-17/05/2021
7am-5.30pm",Mid West Gascoyne,26/02/2021 14:13:50
114.623743277768,-28.8074582211245,216834,59777,02/03/2021 07:00:00,09/03/2021 17:30:00,Maintenance,Road Construction - Brand Hwy at Barrett Drive intersection,,Brand Hwy,"Traffic management in place, speed restrictions
Daily works 02/03/2021-09/03/2021
7am-5.30pm  ",Mid West Gascoyne,26/02/2021 14:19:30
116.015444027528,-32.1156995547913,216836,56360,13/09/2020 18:00:00,13/03/2021 17:00:00,Upgrades,"Albany Hwy between Page Rd and Church St, Kelmscott  - Upgrades 24 hour works",Kelmscott,Albany Hwy,"Reduced to a single lane in both directions, Side road closures",Metro,02/03/2021 08:45:27
117.107005042891,-31.6235197439985,216839,59792,03/03/2021 07:00:00,11/03/2021 19:00:00,Upgrades,"Great Eastern Hwy, Dunlop St, Meckering to Cunderdin  - Upgrades (Shoulder Widening) - 7:00am - 7:00pm Daily",Meckering to Cunderdin,Great Eastern Hwy,Traffic Management in Place - Lane Closure - Speed Reductions - Caution Required at all Times  ,Wheatbelt,02/03/2021 09:26:12
117.368567556271,-31.2948022800518,216840,57344,20/10/2020 05:30:00,26/03/2021 18:00:00,Upgrades,Nungarin Wyalkatchem Rd between Wyalkatchem and Trayning - Upgrades - 5am to 6pm daily,Shire of Wyalkatchem and Shire of Trayning,Nungarin Wyalkatchem Rd,"Lane closures and speed reductions, allow extra travel time and approach with caution ",Wheatbelt,02/03/2021 09:25:00
116.027569930103,-30.8259397842117,216841,59205,28/01/2021 07:00:00,02/04/2021 18:00:00,Maintenance,Bindoon Moora Rd Purser Rd to Moora - Vegetation Maintenance - 7am to 6pm daily,,Bindoon Moora Rd,"Reduced to a single lane as required, speed reduced, approach with caution",Wheatbelt,02/03/2021 09:38:08
